# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
72ad393b07b02a06417b471c | 90_PORT_AUS200JPN225_15M_COINTREV_V3_L30__E241217 | AUS200 | JPN225 | 1 | 2026-05-28T14:41:05Z
7a8d187be006e9e170fee96a | 90_PORT_AUS200SPX500_15M_COINTREV_V3_L30__E250729 | AUS200 | SPX500 | 1 | 2026-05-28T14:41:15Z
8f7ca7775c2cbf85d9cffa4d | 90_PORT_AUS200UK100_15M_COINTREV_V3_L30__E240216 | AUS200 | UK100 | 1 | 2026-05-28T14:41:40Z
24f478f0feb0c5733cc6ee93 | 90_PORT_AUS200USDCHF_15M_COINTREV_V3_L30__E260129 | AUS200 | USDCHF | 1 | 2026-05-28T14:41:59Z
3d47e7c7f0e4fcecd8917b1f | 90_PORT_BTCUSDCADJPY_15M_COINTREV_V3_L30__E240412 | BTCUSD | CADJPY | 1 | 2026-05-28T14:42:16Z
bd45eee875fc75e7c6b771a6 | 90_PORT_BTCUSDESP35_15M_COINTREV_V3_L30__E231229 | BTCUSD | ESP35 | 1 | 2026-05-28T14:42:34Z
b15cb41174659834914b3bc3 | 90_PORT_AUS200EURGBP_15M_COINTREV_V3_L30__E240409 | AUS200 | EURGBP | 1 | 2026-05-28T14:42:46Z
6597794c4cca93345f98fe08 | 90_PORT_AUS200US30_15M_COINTREV_V3_L30__E240704 | AUS200 | US30 | 1 | 2026-05-28T14:43:12Z
ffc8c3fe2b6897ab04521703 | 90_PORT_BTCUSDEURGBP_15M_COINTREV_V3_L30__E240402 | BTCUSD | EURGBP | 1 | 2026-05-28T14:43:15Z
544fc44812d7c424b7e54ba1 | 90_PORT_AUS200XAUUSD_15M_COINTREV_V3_L30__E241118 | AUS200 | XAUUSD | 1 | 2026-05-28T14:43:22Z
27aa3915c103736d26fc47ea | 90_PORT_AUS200NAS100_15M_COINTREV_V3_L30__E250423 | AUS200 | NAS100 | 1 | 2026-05-28T14:43:34Z
c5c63607aa933f7bd90cc86f | 90_PORT_AUS200US30_15M_COINTREV_V3_L30__E241120 | AUS200 | US30 | 1 | 2026-05-28T14:43:43Z
bc1d4f898db4f131825e556b | 90_PORT_BTCUSDEURUSD_15M_COINTREV_V3_L30__E250121 | BTCUSD | EURUSD | 1 | 2026-05-28T14:43:53Z
e47add7cbf4c187c9626b75d | 90_PORT_BTCUSDETHUSD_15M_COINTREV_V3_L30__E240612 | BTCUSD | ETHUSD | 1 | 2026-05-28T14:43:54Z
3f4e44cd2a6396f3ae01bbc8 | 90_PORT_BTCUSDGBPAUD_15M_COINTREV_V3_L30__E250110 | BTCUSD | GBPAUD | 1 | 2026-05-28T14:44:20Z
509161ce7eb1193e3018bd5f | 90_PORT_BTCUSDGER40_15M_COINTREV_V3_L30__E260410 | BTCUSD | GER40 | 1 | 2026-05-28T14:44:25Z
787c3202da6c3def66584939 | 90_PORT_BTCUSDFRA40_15M_COINTREV_V3_L30__E260408 | BTCUSD | FRA40 | 1 | 2026-05-28T14:44:31Z
2cda0ff7593f00e0e0f2e69b | 90_PORT_AUS200SPX500_15M_COINTREV_V3_L30__E241120 | AUS200 | SPX500 | 1 | 2026-05-28T14:44:51Z
48a813e2786ed8a06eb98ba1 | 90_PORT_BTCUSDEUSTX50_15M_COINTREV_V3_L30__E240520 | BTCUSD | EUSTX50 | 1 | 2026-05-28T14:45:08Z
e2706fec529e598c81dfff6f | 90_PORT_BTCUSDEUSTX50_15M_COINTREV_V3_L30__E240820 | BTCUSD | EUSTX50 | 1 | 2026-05-28T14:45:17Z
4f66a8f6abd615388425cc2e | 90_PORT_BTCUSDNZDJPY_15M_COINTREV_V3_L30__E240326 | BTCUSD | NZDJPY | 1 | 2026-05-28T14:45:30Z
cab598c5b6d646d295b4232a | 90_PORT_BTCUSDNZDJPY_15M_COINTREV_V3_L30__E251015 | BTCUSD | NZDJPY | 1 | 2026-05-28T14:45:41Z
031be7575a528cadd81df928 | 90_PORT_BTCUSDNAS100_15M_COINTREV_V3_L30__E240412 | BTCUSD | NAS100 | 1 | 2026-05-28T14:45:53Z
4b8f0b7bcf8868f4015f7167 | 90_PORT_BTCUSDJPN225_15M_COINTREV_V3_L30__E240821 | BTCUSD | JPN225 | 1 | 2026-05-28T14:45:59Z
120dd39590b1761e3e11d6c3 | 90_PORT_BTCUSDJPN225_15M_COINTREV_V3_L30__E240401 | BTCUSD | JPN225 | 1 | 2026-05-28T14:46:05Z
